ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000225193.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|1.39597	NaN|0.00000
ENSG00000254681.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000228477.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.42406	NaN|0.00000
ENSG00000159733.9	NaN|0.00000	-2.1051|0.00000	NaN|0.00000	NaN|0.00000	0.8468|7.68969	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000177418.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000125409.8	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000034063.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.5395|2.12343	0.2604|0.76462
ENSG00000140575.8	0.6938|5.42698	NaN|0.00000	-0.2571|0.00000	NaN|0.00000	0.0713|0.11302	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000215372.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254673.1	1.6834|3.27041	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.2460|0.63684	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000106992.13	1.4185|1.68399	NaN|0.00000	NaN|0.34171	NaN|0.00000	NaN|0.12175	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000167074.10	1.3804|1.02971	NaN|0.00000	NaN|0.02911	NaN|0.00000	-0.1982|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000143479.11	0.8209|0.70575	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.3544|0.91325	NaN|0.00000	NaN|0.00000	-0.6900|0.00000
ENSG00000261014.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000223861.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|1.14410	NaN|0.00000
ENSG00000119514.5	1.2735|1.64933	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.2856|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254209.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000108510.5	1.2668|35.39512	NaN|0.00000	-0.1446|0.00000	NaN|0.00000	-0.1850|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000234602.3	2.3544|0.91325	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.56703	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000206052.6	3.8018|3.23453	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.7833|81.73655	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000260326.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000085832.12	0.6773|2.85149	NaN|0.00000	-0.2750|0.00000	NaN|0.00000	0.4397|3.70728	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000261118.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000225217.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000249199.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000237152.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.42406	0.9407|2.47034
ENSG00000251569.1	NaN|0.15049	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.6319|1.23931	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000269711.1	NaN|0.00000	NaN|0.00000	1.6319|1.74458	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000121690.5	1.2169|1.22843	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.1173|0.00367	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000081842.13	NaN|1.39597	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.7429|49.99922	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000251629.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-3.9124|0.00000
ENSG00000039560.9	0.4386|1.07030	NaN|0.12175	NaN|0.00000	NaN|0.00000	1.2022|23.46517	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000149781.8	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.06011	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000226690.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.34171	0.6319|0.52005
ENSG00000270711.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000111775.2	-0.6900|0.00000	NaN|0.00000	NaN|0.03773	NaN|0.00000	NaN|0.34171	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000162032.11	0.6319|0.63335	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.9729|0.88197	NaN|0.00000	NaN|0.00000	NaN|0.00000
