ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000255158.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000197099.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000259503.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000235016.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-3.4783|0.00000
ENSG00000197859.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000153443.8	0.7885|0.47232	-0.0494|0.00000	NaN|0.09454	NaN|0.00000	1.2222|0.99251	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000163607.10	2.0660|1.24163	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|1.30545	NaN|0.00000	NaN|0.00000	0.3291|0.18158
ENSG00000112941.8	1.5661|6.12795	NaN|1.30545	NaN|0.47388	NaN|0.00000	1.0200|5.52368	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000124875.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000169570.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.7137|2.73264	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000124145.5	NaN|0.00000	NaN|0.00000	NaN|0.28238	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000228135.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000231842.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.5265|0.00000
ENSG00000233577.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000244620.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000271298.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000255435.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.48333	NaN|0.01279
ENSG00000204323.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000164024.7	1.3291|2.81451	NaN|0.00000	NaN|1.14788	NaN|0.00000	0.2977|0.73462	NaN|0.00000	NaN|0.00000	NaN|0.00000
